Gene,Module
MBP,c1_79
MBP,c1_14
MBP,c1_261
MBP,c1_667
MBP,c1_3
MBP,c1_1070
GABRA2,c1_968
GABRA2,c1_17
GABRA2,c1_4
GABRA2,c1_586
GABRA2,c1_186
ZBTB18,c1_584
ZBTB18,c1_961
ZBTB18,c1_4
ZBTB18,c1_1147
ZBTB18,c1_17
ZBTB18,c1_186
S1PR5,c1_670
S1PR5,c1_3
S1PR5,c1_14
S1PR5,c1_262
S1PR5,c1_79
SYNJ1,c1_3
SYNJ1,c1_15
SYNJ1,c1_291
SYNJ1,c1_86
F5,c1_636
F5,c1_2
F5,c1_6
F5,c1_221
F5,c1_40
SLC4A5,c1_221
SLC4A5,c1_636
SLC4A5,c1_2
SLC4A5,c1_40
SLC4A5,c1_6
SLC12A4,c1_2
SLC12A4,c1_64
SLC12A4,c1_9
BHLHE22,c1_608
BHLHE22,c1_17
BHLHE22,c1_4
BHLHE22,c1_1021
BHLHE22,c1_188
SLC4A2,c1_63
SLC4A2,c1_9
SLC4A2,c1_2
USP14,c1_548
USP14,c1_184
USP14,c1_4
USP14,c1_918
USP14,c1_17
AAK1,c1_292
AAK1,c1_3
AAK1,c1_86
AAK1,c1_15
BMPER,c1_502
BMPER,c1_1117
BMPER,c1_171
BMPER,c1_16
BMPER,c1_867
BMPER,c1_4
IGSF21,c1_174
IGSF21,c1_16
IGSF21,c1_4
IGSF21,c1_881
IGSF21,c1_519
DNAJC6,c1_3
DNAJC6,c1_86
DNAJC6,c1_15
DNAJC6,c1_291
DNAJC6,c1_702
LRRC4C,c1_110
LRRC4C,c1_3
LRRC4C,c1_15
LRRC4C,c1_375
CD9,c1_660
CD9,c1_1066
CD9,c1_2
CD9,c1_11
CD9,c1_253
CD9,c1_72
CFAP100,c1_54
CFAP100,c1_2
CFAP100,c1_236
CFAP100,c1_8
IQCG,c1_2
IQCG,c1_54
IQCG,c1_237
IQCG,c1_8
PTGES3,c1_921
PTGES3,c1_17
PTGES3,c1_4
PTGES3,c1_184
PTGES3,c1_1129
PTGES3,c1_550
ENPP2,c1_242
ENPP2,c1_63
ENPP2,c1_9
ENPP2,c1_2
BRINP1,c1_101
BRINP1,c1_3
BRINP1,c1_346
BRINP1,c1_15
NGEF,c1_186
NGEF,c1_4
NGEF,c1_587
NGEF,c1_17
LGI1,c1_15
LGI1,c1_347
LGI1,c1_101
LGI1,c1_3
CNP,c1_79
CNP,c1_14
CNP,c1_3
CNP,c1_668
CNP,c1_261
NPTXR,c1_957
NPTXR,c1_1141
NPTXR,c1_4
NPTXR,c1_582
NPTXR,c1_17
NPTXR,c1_186
NSF,c1_3
NSF,c1_703
NSF,c1_86
NSF,c1_291
NSF,c1_15
FDPS,c1_4
FDPS,c1_16
FDPS,c1_525
FDPS,c1_175
FDPS,c1_887
PRDM16,c1_223
PRDM16,c1_2
PRDM16,c1_6
PRDM16,c1_41
CTDSP1,c1_2
NBL1,c1_502
NBL1,c1_4
NBL1,c1_1118
NBL1,c1_16
NBL1,c1_867
NBL1,c1_171
DNHD1,c1_5
DNHD1,c1_24
NALCN,c1_105
NALCN,c1_361
NALCN,c1_15
NALCN,c1_3
YWHAH,c1_731
YWHAH,c1_15
YWHAH,c1_94
YWHAH,c1_320
YWHAH,c1_3
DMXL2,c1_3
DMXL2,c1_105
DMXL2,c1_765
DMXL2,c1_15
DMXL2,c1_364
TMEM176B,c1_15
TMEM176B,c1_90
TMEM176B,c1_3
TMEM176B,c1_308
OPCML,c1_15
OPCML,c1_3
OPCML,c1_293
OPCML,c1_86
NDRG2,c1_81
NDRG2,c1_14
NDRG2,c1_3
NDRG2,c1_275
SNRNP70,c1_5
SNRNP70,c1_198
SNRNP70,c1_22
SNRNP70,c1_632
RGL1,c1_1173
RGL1,c1_17
RGL1,c1_606
RGL1,c1_4
RGL1,c1_1015
RGL1,c1_188
KCTD4,c1_1024
KCTD4,c1_608
KCTD4,c1_188
KCTD4,c1_17
KCTD4,c1_4
UBE2D3,c1_940
UBE2D3,c1_17
UBE2D3,c1_4
UBE2D3,c1_559
UBE2D3,c1_1133
UBE2D3,c1_184
TCN2,c1_10
TCN2,c1_246
TCN2,c1_2
TCN2,c1_68
MINDY3,c1_3
MINDY3,c1_15
MINDY3,c1_113
CHRNA5,c1_505
CHRNA5,c1_4
CHRNA5,c1_16
CHRNA5,c1_171
TTC28,c1_17
TTC28,c1_188
TTC28,c1_612
TTC28,c1_1036
TTC28,c1_4
MYO6,c1_14
MYO6,c1_82
MYO6,c1_3
TRIL,c1_81
TRIL,c1_3
TRIL,c1_14
TRIL,c1_278
NEFH,c1_303
NEFH,c1_15
NEFH,c1_88
NEFH,c1_3
ARHGAP44,c1_174
ARHGAP44,c1_4
ARHGAP44,c1_881
ARHGAP44,c1_16
ARHGAP44,c1_519
CLSTN1,c1_112
CLSTN1,c1_15
CLSTN1,c1_3
CD63,c1_10
CD63,c1_69
CD63,c1_250
CD63,c1_2
CD63,c1_657
APP,c1_733
APP,c1_3
APP,c1_324
APP,c1_95
APP,c1_15
KIF1C,c1_253
KIF1C,c1_11
KIF1C,c1_660
KIF1C,c1_1066
KIF1C,c1_2
KIF1C,c1_72
TMEM72,c1_637
TMEM72,c1_2
TMEM72,c1_40
TMEM72,c1_6
TMEM72,c1_221
DDX39B,c1_18
DDX39B,c1_5
IPO7,c1_932
IPO7,c1_4
IPO7,c1_184
IPO7,c1_17
IPO7,c1_556
GSN,c1_11
GSN,c1_2
GSN,c1_253
GSN,c1_72
GSN,c1_660
GSN,c1_1066
TMEM88B,c1_14
TMEM88B,c1_667
TMEM88B,c1_1070
TMEM88B,c1_3
TMEM88B,c1_261
TMEM88B,c1_79
PERP,c1_1017
PERP,c1_4
PERP,c1_17
PERP,c1_188
PERP,c1_607
LRRN2,c1_1147
LRRN2,c1_4
LRRN2,c1_961
LRRN2,c1_17
LRRN2,c1_186
LRRN2,c1_584
RPS6KB2,c1_20
RPS6KB2,c1_5
RPS6KB2,c1_192
CERS2,c1_253
CERS2,c1_2
CERS2,c1_72
CERS2,c1_659
CERS2,c1_11
TTC9B,c1_519
TTC9B,c1_883
TTC9B,c1_16
TTC9B,c1_4
TTC9B,c1_174
UCHL1,c1_3
UCHL1,c1_320
UCHL1,c1_730
UCHL1,c1_15
UCHL1,c1_94
BRSK1,c1_463
BRSK1,c1_149
BRSK1,c1_852
BRSK1,c1_15
BRSK1,c1_3
ATP6V0C,c1_3
ATP6V0C,c1_15
ATP6V0C,c1_124
ATP6V0C,c1_405
KCNMA1,c1_103
KCNMA1,c1_3
KCNMA1,c1_752
KCNMA1,c1_15
KCNMA1,c1_354
SELENOP,c1_82
SELENOP,c1_14
SELENOP,c1_3
ARHGAP4,c1_5
ARHGAP4,c1_26
ARHGAP4,c1_634
ARHGAP4,c1_208
C1QL3,c1_15
C1QL3,c1_3
C1QL3,c1_733
C1QL3,c1_324
C1QL3,c1_95
MAP3K9,c1_178
MAP3K9,c1_16
MAP3K9,c1_4
MAP3K9,c1_533
NFE2L2,c1_2
EFHB,c1_2
EFHB,c1_236
EFHB,c1_54
EFHB,c1_8
MARCHF6,c1_3
MARCHF6,c1_762
MARCHF6,c1_15
MARCHF6,c1_105
MARCHF6,c1_363
CFAP43,c1_8
CFAP43,c1_646
CFAP43,c1_2
CFAP43,c1_233
CFAP43,c1_53
CLU,c1_229
CLU,c1_2
CLU,c1_42
CLU,c1_6
ROCK2,c1_292
ROCK2,c1_3
ROCK2,c1_15
ROCK2,c1_86
ROCK2,c1_704
TMED7,c1_554
TMED7,c1_927
TMED7,c1_184
TMED7,c1_4
TMED7,c1_17
AP2A2,c1_291
AP2A2,c1_3
AP2A2,c1_15
AP2A2,c1_86
RFX3,c1_188
RFX3,c1_4
RFX3,c1_17
RFX3,c1_610
PLPP3,c1_688
PLPP3,c1_14
PLPP3,c1_3
PLPP3,c1_279
PLPP3,c1_81
MAGI3,c1_186
MAGI3,c1_4
MAGI3,c1_17
MAGI3,c1_584
ATP11C,c1_223
ATP11C,c1_2
ATP11C,c1_41
ATP11C,c1_6
ERI3,c1_468
ERI3,c1_150
ERI3,c1_15
ERI3,c1_3
ASS1,c1_504
ASS1,c1_4
ASS1,c1_171
ASS1,c1_871
ASS1,c1_1121
